satisfaction_level,last_evaluation,number_project,sales,salary
0.38,0.53,2,sales,low
0.8,0.86,5,sales,medium
0.11,0.88,7,sales,medium
0.72,0.87,5,sales,low
0.37,0.52,2,sales,low
0.41,0.5,2,sales,low
0.1,0.77,6,sales,low
0.92,0.85,5,sales,low
0.89,1,5,sales,low
0.42,0.53,2,sales,low
0.45,0.54,2,sales,low
0.11,0.81,6,sales,low
0.84,0.92,4,sales,low
0.41,0.55,2,sales,low
0.36,0.56,2,sales,low
0.38,0.54,2,sales,low
0.45,0.47,2,sales,low
0.78,0.99,4,sales,low
0.45,0.51,2,sales,low
0.76,0.89,5,sales,low
0.11,0.83,6,sales,low
0.38,0.55,2,sales,low
0.09,0.95,6,sales,low
0.46,0.57,2,sales,low
0.4,0.53,2,sales,low
0.89,0.92,5,sales,low
0.82,0.87,4,sales,low
0.4,0.49,2,sales,low
0.41,0.46,2,accounting,low
0.38,0.5,2,accounting,low
0.09,0.62,6,accounting,low
0.45,0.57,2,hr,low
0.4,0.51,2,hr,low
0.45,0.55,2,hr,low
0.84,0.87,4,hr,low
0.1,0.94,6,technical,low
0.38,0.46,2,technical,low
0.45,0.5,2,technical,low
0.11,0.89,6,technical,low
0.41,0.54,2,technical,low
0.87,0.88,5,technical,low
0.45,0.48,2,technical,low
0.4,0.46,2,technical,low
0.1,0.8,7,technical,low
0.09,0.89,6,technical,low
0.84,0.74,3,technical,low
0.4,0.55,2,support,low
0.57,0.7,3,support,low
0.4,0.54,2,support,low
0.43,0.47,2,support,low
0.13,0.78,6,support,low
0.44,0.55,2,support,low
0.38,0.55,2,support,low
0.39,0.54,2,support,low
0.1,0.92,7,support,low
0.37,0.46,2,support,low
0.11,0.94,7,support,low
0.1,0.81,6,technical,low
0.38,0.54,2,technical,low
0.85,1,4,technical,low
0.85,0.91,5,management,medium
0.11,0.93,7,IT,medium
0.1,0.95,6,IT,medium
0.36,0.56,2,IT,medium
0.11,0.94,6,IT,medium
0.81,0.7,6,IT,medium
0.43,0.54,2,product_mng,medium
0.9,0.98,4,product_mng,medium
0.76,0.86,5,product_mng,medium
0.43,0.5,2,product_mng,medium
0.74,0.99,2,IT,medium
0.09,0.77,5,product_mng,medium
0.45,0.49,2,product_mng,high
0.09,0.87,7,product_mng,low
0.11,0.97,6,product_mng,medium
0.11,0.79,7,product_mng,medium
0.1,0.83,6,product_mng,medium
0.4,0.54,2,marketing,medium
0.43,0.56,2,sales,low
0.39,0.56,2,accounting,low
0.45,0.54,2,support,low
0.38,0.49,2,technical,low
0.79,0.59,4,management,low
0.84,0.85,4,marketing,low
0.11,0.77,6,marketing,low
0.11,0.87,6,marketing,low
0.17,0.84,5,sales,low
0.44,0.45,2,sales,low
0.37,0.57,2,sales,low
0.1,0.79,6,sales,low
0.4,0.5,2,sales,low
0.89,1,5,sales,low
0.42,0.48,2,sales,low
0.46,0.55,2,sales,low
0.09,0.83,6,sales,low
0.37,0.51,2,sales,low
0.1,0.77,6,sales,low
0.1,0.84,6,sales,low
0.11,0.97,6,sales,low
0.9,1,5,sales,medium
0.38,0.52,2,sales,medium
0.36,0.52,2,sales,medium
0.42,0.46,2,sales,medium
0.09,0.94,7,sales,medium
0.43,0.52,2,sales,medium
0.24,0.46,7,accounting,medium
0.91,1,4,accounting,medium
0.44,0.5,2,accounting,medium
0.71,0.87,3,hr,medium
0.4,0.49,2,hr,medium
0.43,0.47,2,hr,medium
0.09,0.85,6,hr,high
0.43,0.52,2,technical,low
0.9,0.96,4,technical,medium
0.84,1,5,technical,medium
0.37,0.48,2,technical,medium
0.86,0.68,5,technical,medium
0.11,0.84,6,technical,low
0.37,0.57,2,technical,low
0.4,0.46,2,technical,low
0.14,0.62,4,technical,low
0.4,0.46,2,technical,low
0.75,1,4,technical,low
0.11,0.84,6,support,low
0.46,0.49,2,support,low
0.11,0.92,6,support,low
0.38,0.49,2,support,low
0.7,0.89,3,support,low
0.09,0.82,6,support,low
0.37,0.45,2,support,low
0.1,0.83,6,support,low
0.38,0.57,2,support,low
0.9,1,5,support,low
0.44,0.51,2,support,low
0.36,0.5,2,technical,low
0.31,0.84,7,technical,low
0.1,0.84,6,technical,low
0.42,0.48,2,management,low
0.74,1,4,IT,low
0.73,0.87,5,IT,low
0.09,0.96,6,IT,low
0.45,0.53,2,IT,low
0.11,0.8,6,IT,low
0.37,0.47,2,product_mng,low
0.84,0.99,4,product_mng,low
0.41,0.46,2,product_mng,low
0.76,0.92,4,product_mng,low
0.11,0.87,6,IT,low
0.84,0.88,4,marketing,low
0.39,0.5,2,marketing,low
0.11,0.91,6,marketing,low
0.45,0.56,2,marketing,low
0.37,0.52,2,marketing,low
0.4,0.52,2,marketing,low
0.39,0.48,2,sales,low
0.11,0.8,6,accounting,low
0.83,1,5,support,low
0.11,0.92,6,technical,low
0.39,0.5,2,management,low
0.45,0.45,2,marketing,low
0.1,0.95,7,marketing,low
0.9,0.98,5,marketing,low
0.45,0.51,2,sales,low
0.79,0.89,5,sales,low
0.9,0.99,5,sales,low
0.11,0.84,7,sales,low
0.43,0.55,2,sales,low
0.31,0.54,5,sales,low
0.32,0.5,2,sales,low
0.45,0.57,2,sales,low
0.81,0.99,4,sales,low
0.41,0.46,2,sales,low
0.11,0.78,7,sales,low
0.1,0.88,6,sales,low
0.7,0.53,2,sales,low
0.54,0.74,4,sales,low
0.41,0.48,2,sales,low
0.38,0.5,2,sales,medium
0.37,0.51,2,sales,medium
0.11,0.85,6,sales,medium
0.4,0.47,2,sales,medium
0.1,0.84,6,accounting,medium
0.89,0.99,5,accounting,medium
0.11,0.8,6,accounting,medium
0.36,0.55,2,hr,medium
0.4,0.46,2,hr,medium
0.09,0.85,6,hr,medium
0.4,0.46,2,hr,medium
0.37,0.55,2,technical,medium
0.44,0.51,2,technical,high
0.09,0.8,7,technical,low
0.92,0.87,4,technical,medium
0.74,0.91,4,technical,medium
0.09,0.82,6,technical,medium
0.89,0.95,4,technical,medium
0.09,0.8,6,technical,low
0.27,0.54,7,technical,low
0.1,0.91,6,technical,low
0.1,0.89,7,technical,low
0.77,0.94,5,support,low
0.9,0.82,5,support,low
0.39,0.5,2,support,low
0.76,1,5,support,low
0.1,0.93,6,support,low
0.87,0.9,5,support,low
0.38,0.5,2,support,low
0.77,0.99,5,support,low
0.78,0.87,4,support,low
0.44,0.5,2,support,low
0.38,0.52,2,support,low
0.43,0.46,2,technical,low
0.39,0.5,4,technical,low
0.88,1,5,technical,low
0.45,0.46,2,management,low
0.4,0.53,2,IT,low
0.36,0.51,2,IT,low
0.36,0.48,2,IT,low
0.9,0.98,5,IT,low
0.43,0.53,2,IT,low
